token_id,most_similar_token,similarity_score,top5_similar
0,21,0.4454549406316506,"[(21, np.float64(0.4454549406316506)), (36, np.float64(0.35022185692413066)), (40, np.float64(0.34628941807679214)), (4, np.float64(0.3396100951132838)), (62, np.float64(0.29602207030462385))]"
1,2,0.6213019515816733,"[(2, np.float64(0.6213019515816733)), (15, np.float64(0.6202611264749192)), (5, np.float64(0.6081510351063322)), (8, np.float64(0.2924594234446696)), (9, np.float64(0.1700632393189031))]"
2,15,0.6837024906057998,"[(15, np.float64(0.6837024906057998)), (1, np.float64(0.6213019515816733)), (5, np.float64(0.5631206225639735)), (30, np.float64(0.2874789550430928)), (7, np.float64(0.2407835999524854))]"
3,43,0.1634606561463888,"[(43, np.float64(0.1634606561463888)), (41, np.float64(0.1576835797156818)), (38, np.float64(0.11606389898244952)), (23, np.float64(0.11430392026779433)), (40, np.float64(0.10162105636978325))]"
4,36,0.405805800916211,"[(36, np.float64(0.405805800916211)), (21, np.float64(0.3473704670401809)), (0, np.float64(0.3396100951132838)), (34, np.float64(0.3275701614744795)), (40, np.float64(0.3136089015563071))]"
5,1,0.6081510351063323,"[(1, np.float64(0.6081510351063323)), (2, np.float64(0.5631206225639735)), (30, np.float64(0.3894436213468288)), (10, np.float64(0.35736100647358715)), (8, np.float64(0.35691698180424225))]"
6,7,0.34662345394900085,"[(7, np.float64(0.34662345394900085)), (36, np.float64(0.29800626114717654)), (51, np.float64(0.29560662919682534)), (14, np.float64(0.2886688051012911)), (62, np.float64(0.2843793786084551))]"
7,6,0.34662345394900085,"[(6, np.float64(0.34662345394900085)), (37, np.float64(0.32909459386746664)), (55, np.float64(0.31506976920783486)), (48, np.float64(0.30209889697583114)), (2, np.float64(0.24078359995248536))]"
8,5,0.35691698180424225,"[(5, np.float64(0.35691698180424225)), (53, np.float64(0.3190282200983101)), (9, np.float64(0.3103658085639438)), (1, np.float64(0.2924594234446696)), (11, np.float64(0.27289666739426205))]"
9,10,0.4378058196850192,"[(10, np.float64(0.4378058196850192)), (8, np.float64(0.3103658085639438)), (61, np.float64(0.29884896770254654)), (5, np.float64(0.2949030514466859)), (43, np.float64(0.2947625958033653))]"
10,62,0.5556519830577644,"[(62, np.float64(0.5556519830577644)), (11, np.float64(0.4726692557094412)), (26, np.float64(0.4489463637714683)), (53, np.float64(0.43790440334756187)), (9, np.float64(0.4378058196850192))]"
11,26,0.4818717645430328,"[(26, np.float64(0.4818717645430328)), (10, np.float64(0.4726692557094412)), (59, np.float64(0.35278681332677936)), (47, np.float64(0.33547304618234963)), (8, np.float64(0.27289666739426205))]"
12,47,0.4625297787070607,"[(47, np.float64(0.4625297787070607)), (45, np.float64(0.41785134904720983)), (43, np.float64(0.3775206443544006)), (37, np.float64(0.3000638262354233)), (55, np.float64(0.2763936064431432))]"
13,19,0.41121283172177336,"[(19, np.float64(0.41121283172177336)), (62, np.float64(0.3828511001035998)), (26, np.float64(0.35074308424723727)), (21, np.float64(0.3300431626898089)), (4, np.float64(0.28384184969805887))]"
14,17,0.37277325811586304,"[(17, np.float64(0.37277325811586304)), (16, np.float64(0.3347838521711935)), (36, np.float64(0.3306126489719877)), (51, np.float64(0.2964590039408252)), (49, np.float64(0.29297563662073167))]"
15,2,0.6837024906057998,"[(2, np.float64(0.6837024906057998)), (1, np.float64(0.6202611264749192)), (5, np.float64(0.32433465636196246)), (55, np.float64(0.2646404276823933)), (9, np.float64(0.14954606931396877))]"
16,17,0.3825462081765715,"[(17, np.float64(0.3825462081765715)), (14, np.float64(0.3347838521711935)), (34, np.float64(0.30154590905166784)), (36, np.float64(0.295885570781122)), (57, np.float64(0.290561887858247))]"
17,57,0.5080990491294348,"[(57, np.float64(0.5080990491294348)), (49, np.float64(0.41549296241645717)), (16, np.float64(0.3825462081765715)), (14, np.float64(0.372773258115863)), (36, np.float64(0.3045321938955512))]"
18,54,0.9963061697376873,"[(54, np.float64(0.9963061697376873)), (31, np.float64(0.9959685940191263)), (19, np.float64(0.36446103907012556)), (48, np.float64(0.18057918742863313)), (32, np.float64(0.15174862120202018))]"
19,13,0.41121283172177336,"[(13, np.float64(0.41121283172177336)), (18, np.float64(0.36446103907012556)), (31, np.float64(0.3543262429832372)), (54, np.float64(0.35251791846014524)), (53, np.float64(0.2810421799572911))]"
20,49,0.2385637211977943,"[(49, np.float64(0.2385637211977943)), (17, np.float64(0.2194878984010786)), (35, np.float64(0.19977962835274687)), (58, np.float64(0.1973371803970972)), (24, np.float64(0.19696316679689013))]"
21,0,0.4454549406316506,"[(0, np.float64(0.4454549406316506)), (27, np.float64(0.3513777170445205)), (4, np.float64(0.347370467040181)), (13, np.float64(0.33004316268980893)), (36, np.float64(0.3225510837539648))]"
22,34,0.32276174278673037,"[(34, np.float64(0.32276174278673037)), (35, np.float64(0.21116192309482698)), (59, np.float64(0.20892458409677755)), (36, np.float64(0.19862939842317304)), (62, np.float64(0.19644228776088035))]"
23,36,0.32818015118967014,"[(36, np.float64(0.32818015118967014)), (35, np.float64(0.2849571640265952)), (8, np.float64(0.24931536851574532)), (4, np.float64(0.24301203126878418)), (34, np.float64(0.24199128821093177))]"
24,47,0.3260712789115656,"[(47, np.float64(0.3260712789115656)), (29, np.float64(0.2646511660514973)), (12, np.float64(0.261693969901544)), (13, np.float64(0.25504536201778516)), (16, np.float64(0.22534852750072445))]"
25,27,0.20867377592707248,"[(27, np.float64(0.20867377592707248)), (0, np.float64(0.16220840588015933)), (2, np.float64(0.16204344650989883)), (12, np.float64(0.15170510661792816)), (29, np.float64(0.12230156991177304))]"
26,11,0.48187176454303277,"[(11, np.float64(0.48187176454303277)), (10, np.float64(0.44894636377146835)), (62, np.float64(0.3945508153584879)), (13, np.float64(0.35074308424723727)), (61, np.float64(0.2931373582227351))]"
27,29,0.4062016914274453,"[(29, np.float64(0.4062016914274453)), (30, np.float64(0.387449808988276)), (21, np.float64(0.3513777170445205)), (51, np.float64(0.3449411727380739)), (36, np.float64(0.33677622045005373))]"
28,29,0.38753616898783283,"[(29, np.float64(0.38753616898783283)), (30, np.float64(0.20832005678430024)), (27, np.float64(0.1956107097869652)), (8, np.float64(0.173372197353581)), (16, np.float64(0.1729713231650427))]"
29,27,0.4062016914274453,"[(27, np.float64(0.4062016914274453)), (30, np.float64(0.4039094850146634)), (28, np.float64(0.38753616898783283)), (21, np.float64(0.32122571584721965)), (4, np.float64(0.29555858850342553))]"
30,29,0.4039094850146635,"[(29, np.float64(0.4039094850146635)), (5, np.float64(0.38944362134682886)), (27, np.float64(0.387449808988276)), (59, np.float64(0.34704046038192005)), (36, np.float64(0.3444442278853249))]"
31,54,0.9992102755824829,"[(54, np.float64(0.9992102755824829)), (18, np.float64(0.9959685940191262)), (19, np.float64(0.35432624298323717)), (48, np.float64(0.20085602001432062)), (32, np.float64(0.14748813268484479))]"
32,40,0.3574620192975846,"[(40, np.float64(0.3574620192975846)), (45, np.float64(0.3391536373910295)), (48, np.float64(0.3072837815872862)), (43, np.float64(0.29610549623113636)), (38, np.float64(0.28493571842415905))]"
33,57,0.3348118954706502,"[(57, np.float64(0.3348118954706502)), (29, np.float64(0.2730393035183597)), (27, np.float64(0.23516323462888927)), (14, np.float64(0.19998722877668493)), (17, np.float64(0.18902174667378813))]"
34,36,0.5460707786768877,"[(36, np.float64(0.5460707786768877)), (51, np.float64(0.5234776962620054)), (59, np.float64(0.48885132970635015)), (35, np.float64(0.3482779294126003)), (4, np.float64(0.3275701614744795))]"
35,36,0.45257592181178363,"[(36, np.float64(0.45257592181178363)), (51, np.float64(0.4094188469444169)), (34, np.float64(0.3482779294126003)), (49, np.float64(0.33075024770355044)), (59, np.float64(0.3198099381348754))]"
36,49,0.5778867648980438,"[(49, np.float64(0.5778867648980438)), (34, np.float64(0.5460707786768877)), (61, np.float64(0.4792448864636044)), (35, np.float64(0.45257592181178363)), (51, np.float64(0.4498766080327117))]"
37,60,0.4697229337864364,"[(60, np.float64(0.4697229337864364)), (45, np.float64(0.445689164435346)), (43, np.float64(0.4169352007190831)), (55, np.float64(0.3629446674023595)), (41, np.float64(0.3336562237234236))]"
38,40,0.4461767795685364,"[(40, np.float64(0.4461767795685364)), (60, np.float64(0.4361412002517126)), (45, np.float64(0.42354862553167816)), (41, np.float64(0.36275337553558484)), (55, np.float64(0.2969342077853402))]"
39,43,0.22180520205398385,"[(43, np.float64(0.22180520205398385)), (45, np.float64(0.18626762606846153)), (41, np.float64(0.1856545051255542)), (51, np.float64(0.15990968504767056)), (50, np.float64(0.15848676918061783))]"
40,45,0.5226691003788395,"[(45, np.float64(0.5226691003788395)), (41, np.float64(0.45426751932691267)), (38, np.float64(0.44617677956853646)), (32, np.float64(0.3574620192975846)), (0, np.float64(0.34628941807679214))]"
41,40,0.45426751932691267,"[(40, np.float64(0.45426751932691267)), (45, np.float64(0.4493982912546315)), (43, np.float64(0.3749205156981227)), (38, np.float64(0.36275337553558484)), (50, np.float64(0.34550745799124893))]"
42,38,0.168620668522218,"[(38, np.float64(0.168620668522218)), (41, np.float64(0.1632138078895017)), (53, np.float64(0.15708751837246895)), (43, np.float64(0.15594753449245868)), (15, np.float64(0.14449832030176285))]"
43,45,0.5274828928399332,"[(45, np.float64(0.5274828928399332)), (37, np.float64(0.4169352007190831)), (12, np.float64(0.3775206443544006)), (41, np.float64(0.3749205156981227)), (32, np.float64(0.29610549623113636))]"
44,56,0.9979252903658181,"[(56, np.float64(0.9979252903658181)), (9, np.float64(0.1716584887810319)), (28, np.float64(0.16407865472782424)), (16, np.float64(0.12482451666920635)), (52, np.float64(0.07958769403134378))]"
45,43,0.5274828928399332,"[(43, np.float64(0.5274828928399332)), (40, np.float64(0.5226691003788396)), (55, np.float64(0.504264685798383)), (41, np.float64(0.4493982912546316)), (37, np.float64(0.44568916443534595))]"
46,52,0.137909620195173,"[(52, np.float64(0.137909620195173)), (51, np.float64(0.12227994481699196)), (50, np.float64(0.09840725211544812)), (19, np.float64(0.09354604400387821)), (55, np.float64(0.0901541794603146))]"
47,12,0.4625297787070607,"[(12, np.float64(0.4625297787070607)), (11, np.float64(0.3354730461823496)), (10, np.float64(0.3353506983429921)), (24, np.float64(0.3260712789115657)), (51, np.float64(0.24833822344895823))]"
48,40,0.31826524132847867,"[(40, np.float64(0.31826524132847867)), (32, np.float64(0.30728378158728614)), (7, np.float64(0.30209889697583114)), (41, np.float64(0.2539588249923726)), (38, np.float64(0.24408001462282217))]"
49,36,0.5778867648980438,"[(36, np.float64(0.5778867648980438)), (17, np.float64(0.4154929624164571)), (51, np.float64(0.369295588308296)), (59, np.float64(0.35065816563871827)), (35, np.float64(0.33075024770355044))]"
50,51,0.5955871783465734,"[(51, np.float64(0.5955871783465734)), (41, np.float64(0.34550745799124893)), (34, np.float64(0.3230092615458938)), (40, np.float64(0.2904131139820452)), (53, np.float64(0.2899037214255209))]"
51,50,0.5955871783465734,"[(50, np.float64(0.5955871783465734)), (34, np.float64(0.5234776962620054)), (36, np.float64(0.4498766080327117)), (35, np.float64(0.4094188469444169)), (59, np.float64(0.37967729824568835))]"
52,6,0.20913170668624786,"[(6, np.float64(0.20913170668624786)), (20, np.float64(0.17564270349270394)), (16, np.float64(0.163812051087371)), (7, np.float64(0.1495140226477012)), (46, np.float64(0.137909620195173))]"
53,10,0.43790440334756175,"[(10, np.float64(0.43790440334756175)), (8, np.float64(0.3190282200983101)), (62, np.float64(0.30099565439212206)), (50, np.float64(0.2899037214255209)), (19, np.float64(0.2810421799572911))]"
54,31,0.9992102755824829,"[(31, np.float64(0.9992102755824829)), (18, np.float64(0.9963061697376873)), (19, np.float64(0.35251791846014524)), (48, np.float64(0.1902265909120682)), (32, np.float64(0.15877799019180316))]"
55,45,0.504264685798383,"[(45, np.float64(0.504264685798383)), (37, np.float64(0.3629446674023595)), (40, np.float64(0.322952979816662)), (7, np.float64(0.31506976920783486)), (38, np.float64(0.2969342077853402))]"
