TokenIndex,DetectionIndex,BurstIteration,CacheSet,Probe
0,0,0,0,70
0,0,0,1,48
0,0,0,2,36
0,0,0,3,34
0,0,0,4,38
0,0,0,5,34
0,0,0,6,42
0,0,0,7,40
0,0,0,8,42
0,0,0,9,34
0,0,0,10,40
0,0,0,11,36
0,0,0,12,38
0,0,0,13,38
0,0,0,14,36
0,0,0,15,40
0,0,0,16,36
0,0,0,17,34
0,0,0,18,34
0,0,0,19,34
0,0,0,20,32
0,0,0,21,38
0,0,0,22,36
0,0,0,23,36
0,0,0,24,36
0,0,0,25,38
0,0,0,26,64
0,0,0,27,36
0,0,0,28,38
0,0,0,29,72
0,0,0,30,34
0,0,0,31,42
0,0,0,32,40
0,0,0,33,64
0,0,0,34,34
0,0,0,35,74
0,0,0,36,38
0,0,0,37,62
0,0,0,38,36
0,0,0,39,38
0,0,0,40,66
0,0,0,41,62
0,0,0,42,38
0,0,0,43,40
0,0,0,44,36
0,0,0,45,36
0,0,0,46,70
0,0,0,47,76
0,0,0,48,66
0,0,0,49,38
0,0,0,50,78
0,0,0,51,38
0,0,0,52,64
0,0,0,53,36
0,0,0,54,70
0,0,0,55,70
0,0,0,56,38
0,0,0,57,38
0,0,0,58,34
0,0,0,59,36
0,0,0,60,66
0,0,0,61,36
0,0,0,62,70
0,0,0,63,40
0,0,1,0,38
0,0,1,1,38
0,0,1,2,34
0,0,1,3,32
0,0,1,4,36
0,0,1,5,36
0,0,1,6,38
0,0,1,7,32
0,0,1,8,38
0,0,1,9,36
0,0,1,10,34
0,0,1,11,36
0,0,1,12,40
0,0,1,13,40
0,0,1,14,38
0,0,1,15,36
0,0,1,16,40
0,0,1,17,36
0,0,1,18,32
0,0,1,19,34
0,0,1,20,36
0,0,1,21,36
0,0,1,22,42
0,0,1,23,38
0,0,1,24,40
0,0,1,25,40
0,0,1,26,38
0,0,1,27,34
0,0,1,28,38
0,0,1,29,40
0,0,1,30,38
0,0,1,31,36
0,0,1,32,40
0,0,1,33,38
0,0,1,34,36
0,0,1,35,34
0,0,1,36,38
0,0,1,37,36
0,0,1,38,34
0,0,1,39,38
0,0,1,40,36
0,0,1,41,38
0,0,1,42,34
0,0,1,43,40
0,0,1,44,36
0,0,1,45,36
0,0,1,46,36
0,0,1,47,38
0,0,1,48,38
0,0,1,49,38
0,0,1,50,36
0,0,1,51,38
0,0,1,52,36
0,0,1,53,38
0,0,1,54,36
0,0,1,55,34
0,0,1,56,40
0,0,1,57,36
0,0,1,58,38
0,0,1,59,42
0,0,1,60,38
0,0,1,61,34
0,0,1,62,40
0,0,1,63,36
0,0,2,0,32
0,0,2,1,36
0,0,2,2,36
0,0,2,3,36
0,0,2,4,40
0,0,2,5,36
0,0,2,6,36
0,0,2,7,34
0,0,2,8,40
0,0,2,9,38
0,0,2,10,34
0,0,2,11,36
0,0,2,12,36
0,0,2,13,36
0,0,2,14,34
0,0,2,15,38
0,0,2,16,38
0,0,2,17,36
0,0,2,18,38
0,0,2,19,36
0,0,2,20,32
0,0,2,21,34
0,0,2,22,38
0,0,2,23,36
0,0,2,24,34
0,0,2,25,34
0,0,2,26,38
0,0,2,27,36
0,0,2,28,40
0,0,2,29,32
0,0,2,30,36
0,0,2,31,36
0,0,2,32,38
0,0,2,33,34
0,0,2,34,36
0,0,2,35,34
0,0,2,36,36
0,0,2,37,36
0,0,2,38,34
0,0,2,39,34
0,0,2,40,32
0,0,2,41,36
0,0,2,42,36
0,0,2,43,34
0,0,2,44,36
0,0,2,45,40
0,0,2,46,36
0,0,2,47,36
0,0,2,48,34
0,0,2,49,36
0,0,2,50,38
0,0,2,51,34
0,0,2,52,34
0,0,2,53,34
0,0,2,54,40
0,0,2,55,32
0,0,2,56,34
0,0,2,57,46
0,0,2,58,38
0,0,2,59,34
0,0,2,60,34
0,0,2,61,36
0,0,2,62,66
0,0,2,63,34
0,0,3,0,38
0,0,3,1,38
0,0,3,2,42
0,0,3,3,36
0,0,3,4,38
0,0,3,5,34
0,0,3,6,36
0,0,3,7,34
0,0,3,8,38
0,0,3,9,36
0,0,3,10,40
0,0,3,11,34
0,0,3,12,36
0,0,3,13,36
0,0,3,14,34
0,0,3,15,34
0,0,3,16,38
0,0,3,17,42
0,0,3,18,36
0,0,3,19,36
0,0,3,20,40
0,0,3,21,36
0,0,3,22,40
0,0,3,23,38
0,0,3,24,36
0,0,3,25,36
0,0,3,26,34
0,0,3,27,36
0,0,3,28,38
0,0,3,29,38
0,0,3,30,40
0,0,3,31,38
0,0,3,32,36
0,0,3,33,36
0,0,3,34,36
0,0,3,35,42
0,0,3,36,38
0,0,3,37,40
0,0,3,38,40
0,0,3,39,38
0,0,3,40,36
0,0,3,41,40
0,0,3,42,38
0,0,3,43,36
0,0,3,44,36
0,0,3,45,36
0,0,3,46,40
0,0,3,47,36
0,0,3,48,36
0,0,3,49,32
0,0,3,50,38
0,0,3,51,36
0,0,3,52,36
0,0,3,53,32
0,0,3,54,34
0,0,3,55,34
0,0,3,56,38
0,0,3,57,40
0,0,3,58,40
0,0,3,59,36
0,0,3,60,40
0,0,3,61,40
0,0,3,62,40
0,0,3,63,36
0,0,4,0,36
0,0,4,1,36
0,0,4,2,34
0,0,4,3,36
0,0,4,4,34
0,0,4,5,36
0,0,4,6,38
0,0,4,7,36
0,0,4,8,32
0,0,4,9,38
0,0,4,10,40
0,0,4,11,32
0,0,4,12,38
0,0,4,13,36
0,0,4,14,36
0,0,4,15,36
0,0,4,16,40
0,0,4,17,38
0,0,4,18,34
0,0,4,19,36
0,0,4,20,36
0,0,4,21,38
0,0,4,22,36
0,0,4,23,36
0,0,4,24,34
0,0,4,25,40
0,0,4,26,32
0,0,4,27,40
0,0,4,28,40
0,0,4,29,38
0,0,4,30,36
0,0,4,31,40
0,0,4,32,38
0,0,4,33,38
0,0,4,34,34
0,0,4,35,34
0,0,4,36,38
0,0,4,37,36
0,0,4,38,36
0,0,4,39,36
0,0,4,40,38
0,0,4,41,38
0,0,4,42,36
0,0,4,43,38
0,0,4,44,34
0,0,4,45,38
0,0,4,46,40
0,0,4,47,38
0,0,4,48,40
0,0,4,49,34
0,0,4,50,34
0,0,4,51,34
0,0,4,52,40
0,0,4,53,38
0,0,4,54,38
0,0,4,55,34
0,0,4,56,34
0,0,4,57,36
0,0,4,58,36
0,0,4,59,36
0,0,4,60,40
0,0,4,61,34
0,0,4,62,36
0,0,4,63,38
0,0,5,0,32
0,0,5,1,38
0,0,5,2,34
0,0,5,3,36
0,0,5,4,38
0,0,5,5,38
0,0,5,6,38
0,0,5,7,36
0,0,5,8,36
0,0,5,9,36
0,0,5,10,34
0,0,5,11,36
0,0,5,12,38
0,0,5,13,40
0,0,5,14,36
0,0,5,15,36
0,0,5,16,38
0,0,5,17,38
0,0,5,18,36
0,0,5,19,34
0,0,5,20,36
0,0,5,21,38
