TokenIndex,DetectionIndex,BurstIteration,CacheSet,Probe
0,0,0,0,72
0,0,0,1,74
0,0,0,2,66
0,0,0,3,66
0,0,0,4,72
0,0,0,5,74
0,0,0,6,64
0,0,0,7,66
0,0,0,8,72
0,0,0,9,72
0,0,0,10,84
0,0,0,11,66
0,0,0,12,72
0,0,0,13,74
0,0,0,14,62
0,0,0,15,68
0,0,0,16,76
0,0,0,17,72
0,0,0,18,64
0,0,0,19,66
0,0,0,20,74
0,0,0,21,104
0,0,0,22,68
0,0,0,23,62
0,0,0,24,76
0,0,0,25,72
0,0,0,26,68
0,0,0,27,62
0,0,0,28,70
0,0,0,29,76
0,0,0,30,70
0,0,0,31,60
0,0,0,32,62
0,0,0,33,62
0,0,0,34,68
0,0,0,35,74
0,0,0,36,62
0,0,0,37,68
0,0,0,38,72
0,0,0,39,90
0,0,0,40,60
0,0,0,41,70
0,0,0,42,70
0,0,0,43,76
0,0,0,44,64
0,0,0,45,68
0,0,0,46,72
0,0,0,47,76
0,0,0,48,68
0,0,0,49,66
0,0,0,50,68
0,0,0,51,74
0,0,0,52,66
0,0,0,53,60
0,0,0,54,72
0,0,0,55,76
0,0,0,56,68
0,0,0,57,66
0,0,0,58,76
0,0,0,59,74
0,0,0,60,64
0,0,0,61,62
0,0,0,62,76
0,0,0,63,70
0,0,1,0,72
0,0,1,1,68
0,0,1,2,36
0,0,1,3,38
0,0,1,4,38
0,0,1,5,38
0,0,1,6,40
0,0,1,7,36
0,0,1,8,40
0,0,1,9,36
0,0,1,10,36
0,0,1,11,38
0,0,1,12,38
0,0,1,13,40
0,0,1,14,34
0,0,1,15,36
0,0,1,16,38
0,0,1,17,36
0,0,1,18,36
0,0,1,19,36
0,0,1,20,40
0,0,1,21,38
0,0,1,22,40
0,0,1,23,42
0,0,1,24,38
0,0,1,25,40
0,0,1,26,34
0,0,1,27,36
0,0,1,28,40
0,0,1,29,36
0,0,1,30,38
0,0,1,31,40
0,0,1,32,36
0,0,1,33,36
0,0,1,34,40
0,0,1,35,32
0,0,1,36,36
0,0,1,37,34
0,0,1,38,38
0,0,1,39,36
0,0,1,40,36
0,0,1,41,34
0,0,1,42,34
0,0,1,43,38
0,0,1,44,34
0,0,1,45,36
0,0,1,46,36
0,0,1,47,38
0,0,1,48,38
0,0,1,49,36
0,0,1,50,40
0,0,1,51,36
0,0,1,52,34
0,0,1,53,32
0,0,1,54,38
0,0,1,55,40
0,0,1,56,38
0,0,1,57,46
0,0,1,58,36
0,0,1,59,34
0,0,1,60,40
0,0,1,61,34
0,0,1,62,34
0,0,1,63,36
0,0,2,0,36
0,0,2,1,36
0,0,2,2,40
0,0,2,3,40
0,0,2,4,36
0,0,2,5,36
0,0,2,6,36
0,0,2,7,34
0,0,2,8,38
0,0,2,9,34
0,0,2,10,34
0,0,2,11,34
0,0,2,12,36
0,0,2,13,38
0,0,2,14,34
0,0,2,15,36
0,0,2,16,36
0,0,2,17,40
0,0,2,18,36
0,0,2,19,36
0,0,2,20,38
0,0,2,21,70
0,0,2,22,36
0,0,2,23,62
0,0,2,24,38
0,0,2,25,36
0,0,2,26,36
0,0,2,27,36
0,0,2,28,34
0,0,2,29,34
0,0,2,30,36
0,0,2,31,36
0,0,2,32,36
0,0,2,33,36
0,0,2,34,34
0,0,2,35,36
0,0,2,36,36
0,0,2,37,34
0,0,2,38,32
0,0,2,39,36
0,0,2,40,34
0,0,2,41,34
0,0,2,42,34
0,0,2,43,34
0,0,2,44,42
0,0,2,45,34
0,0,2,46,38
0,0,2,47,36
0,0,2,48,36
0,0,2,49,38
0,0,2,50,34
0,0,2,51,36
0,0,2,52,36
0,0,2,53,38
0,0,2,54,36
0,0,2,55,36
0,0,2,56,40
0,0,2,57,36
0,0,2,58,34
0,0,2,59,36
0,0,2,60,36
0,0,2,61,36
0,0,2,62,32
0,0,2,63,38
0,0,3,0,36
0,0,3,1,36
0,0,3,2,36
0,0,3,3,36
0,0,3,4,36
0,0,3,5,34
0,0,3,6,32
0,0,3,7,36
0,0,3,8,34
0,0,3,9,38
0,0,3,10,36
0,0,3,11,40
0,0,3,12,36
0,0,3,13,38
0,0,3,14,38
0,0,3,15,38
0,0,3,16,38
0,0,3,17,36
0,0,3,18,36
0,0,3,19,42
0,0,3,20,74
0,0,3,21,38
0,0,3,22,36
0,0,3,23,38
0,0,3,24,38
0,0,3,25,36
0,0,3,26,40
0,0,3,27,38
0,0,3,28,36
0,0,3,29,38
0,0,3,30,36
0,0,3,31,36
0,0,3,32,36
0,0,3,33,40
0,0,3,34,34
0,0,3,35,38
0,0,3,36,36
0,0,3,37,36
0,0,3,38,38
0,0,3,39,36
0,0,3,40,38
0,0,3,41,36
0,0,3,42,34
0,0,3,43,38
0,0,3,44,36
0,0,3,45,36
0,0,3,46,40
0,0,3,47,36
0,0,3,48,40
0,0,3,49,40
0,0,3,50,48
0,0,3,51,36
0,0,3,52,36
0,0,3,53,38
0,0,3,54,34
0,0,3,55,38
0,0,3,56,34
0,0,3,57,40
0,0,3,58,32
0,0,3,59,38
0,0,3,60,36
0,0,3,61,36
0,0,3,62,38
0,0,3,63,40
0,0,4,0,36
0,0,4,1,34
0,0,4,2,40
0,0,4,3,38
0,0,4,4,36
0,0,4,5,38
0,0,4,6,38
0,0,4,7,38
0,0,4,8,40
0,0,4,9,36
0,0,4,10,36
0,0,4,11,38
0,0,4,12,36
0,0,4,13,38
0,0,4,14,36
0,0,4,15,34
0,0,4,16,40
0,0,4,17,36
0,0,4,18,36
0,0,4,19,38
0,0,4,20,32
0,0,4,21,38
0,0,4,22,40
0,0,4,23,36
0,0,4,24,34
0,0,4,25,36
0,0,4,26,36
0,0,4,27,36
0,0,4,28,36
0,0,4,29,40
0,0,4,30,36
0,0,4,31,36
0,0,4,32,34
0,0,4,33,38
0,0,4,34,40
0,0,4,35,38
0,0,4,36,36
0,0,4,37,40
0,0,4,38,38
0,0,4,39,38
0,0,4,40,36
0,0,4,41,34
0,0,4,42,40
0,0,4,43,34
0,0,4,44,36
0,0,4,45,36
0,0,4,46,40
0,0,4,47,36
0,0,4,48,36
0,0,4,49,36
0,0,4,50,38
0,0,4,51,40
0,0,4,52,38
0,0,4,53,40
0,0,4,54,34
0,0,4,55,36
0,0,4,56,34
0,0,4,57,34
0,0,4,58,34
0,0,4,59,36
0,0,4,60,36
0,0,4,61,32
0,0,4,62,34
0,0,4,63,34
0,0,5,0,36
0,0,5,1,40
0,0,5,2,36
0,0,5,3,32
0,0,5,4,34
0,0,5,5,38
0,0,5,6,36
0,0,5,7,36
0,0,5,8,36
0,0,5,9,34
0,0,5,10,36
0,0,5,11,38
0,0,5,12,36
0,0,5,13,34
0,0,5,14,36
0,0,5,15,38
0,0,5,16,32
0,0,5,17,36
0,0,5,18,34
0,0,5,19,36
0,0,5,20,38
0,0,5,21,36
0,0,5,22,38
0,0,5,23,34
0,0,5,24,76
0,0,5,25,38
0,0,5,26,40
0,0,5,27,36
0,0,5,28,36
0,0,5,29,36
0,0,5,30,36
0,0,5,31,34
0,0,5,32,36
0,0,5,33,34
0,0,5,34,36
0,0,5,35,40
0,0,5,36,34
0,0,5,37,38
0,0,5,38,36
0,0,5,39,40
0,0,5,40,36
0,0,5,41,36
0,0,5,42,36
0,0,5,43,34
0,0,5,44,36
0,0,5,45,36
0,0,5,46,38
0,0,5,47,36
0,0,5,48,34
0,0,5,49,36
0,0,5,50,36
0,0,5,51,36
0,0,5,52,36
0,0,5,53,36
0,0,5,54,34
0,0,5,55,34
0,0,5,56,34
0,0,5,57,38
0,0,5,58,38
0,0,5,59,38
0,0,5,60,42
0,0,5,61,38
0,0,5,62,36
0,0,5,63,42
0,0,6,0,36
0,0,6,1,38
0,0,6,2,36
0,0,6,3,38
0,0,6,4,36
0,0,6,5,38
0,0,6,6,38
0,0,6,7,36
0,0,6,8,34
0,0,6,9,34
0,0,6,10,38
0,0,6,11,36
0,0,6,12,36
0,0,6,13,36
0,0,6,14,36
0,0,6,15,38
0,0,6,16,38
0,0,6,17,34
0,0,6,18,40
0,0,6,19,36
0,0,6,20,38
0,0,6,21,34
0,0,6,22,38
0,0,6,23,36
0,0,6,24,38
0,0,6,25,38
0,0,6,26,40
0,0,6,27,36
0,0,6,28,36
0,0,6,29,40
0,0,6,30,34
0,0,6,31,36
0,0,6,32,36
0,0,6,33,36
0,0,6,34,34
0,0,6,35,38
0,0,6,36,40
0,0,6,37,38
0,0,6,38,36
0,0,6,39,38
0,0,6,40,40
0,0,6,41,38
0,0,6,42,38
0,0,6,43,40
0,0,6,44,40
0,0,6,45,38
0,0,6,46,36
0,0,6,47,34
0,0,6,48,38
0,0,6,49,50
0,0,6,50,38
0,0,6,51,36
0,0,6,52,36
0,0,6,53,38
0,0,6,54,36
0,0,6,55,36
0,0,6,56,38
0,0,6,57,32
0,0,6,58,40
0,0,6,59,38
0,0,6,60,36
0,0,6,61,36
0,0,6,62,34
0,0,6,63,36
0,0,7,0,38
0,0,7,1,36
0,0,7,2,34
0,0,7,3,38
0,0,7,4,34
0,0,7,5,38
0,0,7,6,38
0,0,7,7,34
0,0,7,8,40
0,0,7,9,38
0,0,7,10,40
0,0,7,11,38
0,0,7,12,34
0,0,7,13,40
0,0,7,14,36
0,0,7,15,32
0,0,7,16,36
0,0,7,17,38
0,0,7,18,36
0,0,7,19,36
0,0,7,20,36
0,0,7,21,36
0,0,7,22,36
0,0,7,23,38
0,0,7,24,36
0,0,7,25,38
0,0,7,26,34
0,0,7,27,36
0,0,7,28,40
0,0,7,29,36
0,0,7,30,38
0,0,7,31,40
0,0,7,32,42
0,0,7,33,36
0,0,7,34,38
0,0,7,35,34
0,0,7,36,38
0,0,7,37,34
0,0,7,38,32
0,0,7,39,38
0,0,7,40,40
0,0,7,41,38
0,0,7,42,36
0,0,7,43,40
0,0,7,44,34
0,0,7,45,38
0,0,7,46,36
0,0,7,47,38
0,0,7,48,36
0,0,7,49,38
0,0,7,50,36
0,0,7,51,38
0,0,7,52,38
0,0,7,53,38
0,0,7,54,36
0,0,7,55,32
0,0,7,56,40
0,0,7,57,36
0,0,7,58,38
0,0,7,59,40
0,0,7,60,36
0,0,7,61,38
0,0,7,62,38
0,0,7,63,38
0,0,8,0,40
0,0,8,1,36
0,0,8,2,38
0,0,8,3,36
0,0,8,4,34
0,0,8,5,36
0,0,8,6,34
0,0,8,7,38
0,0,8,8,36
0,0,8,9,36
0,0,8,10,36
0,0,8,11,36
0,0,8,12,36
0,0,8,13,34
0,0,8,14,38
0,0,8,15,36
0,0,8,16,36
0,0,8,17,36
0,0,8,18,36
0,0,8,19,36
0,0,8,20,44
0,0,8,21,36
0,0,8,22,40
0,0,8,23,36
0,0,8,24,36
0,0,8,25,32
0,0,8,26,36
0,0,8,27,34
0,0,8,28,34
0,0,8,29,36
0,0,8,30,36
0,0,8,31,36
0,0,8,32,36
0,0,8,33,32
0,0,8,34,38
0,0,8,35,38
0,0,8,36,36
0,0,8,37,36
0,0,8,38,40
0,0,8,39,34
0,0,8,40,34
0,0,8,41,36
0,0,8,42,36
0,0,8,43,38
0,0,8,44,40
0,0,8,45,36
0,0,8,46,38
0,0,8,47,34
0,0,8,48,32
0,0,8,49,36
0,0,8,50,36
0,0,8,51,34
0,0,8,52,34
0,0,8,53,36
0,0,8,54,38
0,0,8,55,34
0,0,8,56,40
0,0,8,57,38
0,0,8,58,34
0,0,8,59,36
0,0,8,60,34
0,0,8,61,38
0,0,8,62,36
0,0,8,63,36
0,0,9,0,38
0,0,9,1,34
0,0,9,2,38
0,0,9,3,36
0,0,9,4,40
0,0,9,5,38
0,0,9,6,36
0,0,9,7,34
0,0,9,8,36
0,0,9,9,36
0,0,9,10,34
0,0,9,11,38
0,0,9,12,40
0,0,9,13,36
0,0,9,14,40
0,0,9,15,36
0,0,9,16,40
0,0,9,17,40
0,0,9,18,36
0,0,9,19,36
0,0,9,20,38
0,0,9,21,34
0,0,9,22,32
0,0,9,23,36
0,0,9,24,40
0,0,9,25,32
0,0,9,26,36
0,0,9,27,40
0,0,9,28,36
0,0,9,29,34
0,0,9,30,38
0,0,9,31,38
0,0,9,32,36
0,0,9,33,38
0,0,9,34,36
0,0,9,35,38
0,0,9,36,38
0,0,9,37,34
0,0,9,38,36
0,0,9,39,40
0,0,9,40,36
0,0,9,41,36
0,0,9,42,34
0,0,9,43,34
0,0,9,44,34
0,0,9,45,36
0,0,9,46,36
0,0,9,47,36
0,0,9,48,38
0,0,9,49,36
0,0,9,50,38
0,0,9,51,34
0,0,9,52,40
0,0,9,53,36
0,0,9,54,38
0,0,9,55,38
0,0,9,56,38
0,0,9,57,38
0,0,9,58,36
0,0,9,59,34
0,0,9,60,36
0,0,9,61,34
0,0,9,62,36
0,0,9,63,38
0,0,10,0,36
0,0,10,1,38
0,0,10,2,36
0,0,10,3,36
0,0,10,4,36
0,0,10,5,36
0,0,10,6,40
0,0,10,7,34
0,0,10,8,40
0,0,10,9,38
0,0,10,10,38
0,0,10,11,36
0,0,10,12,36
0,0,10,13,34
0,0,10,14,40
0,0,10,15,32
0,0,10,16,36
0,0,10,17,40
0,0,10,18,36
0,0,10,19,40
0,0,10,20,36
0,0,10,21,32
0,0,10,22,36
0,0,10,23,40
0,0,10,24,74
0,0,10,25,40
0,0,10,26,36
0,0,10,27,40
0,0,10,28,36
0,0,10,29,38
0,0,10,30,38
0,0,10,31,38
0,0,10,32,36
0,0,10,33,38
0,0,10,34,38
0,0,10,35,40
