Token	Addresses	CacheSets	UniqueSets
0	10	41,39,36,0,18,58,60,60,0,4	8
1	10	41,39,36,0,18,58,60,60,1,9	9
2	10	41,39,36,0,18,58,60,60,2,17	9
3	10	41,39,36,0,18,58,60,60,2,34	9
4	10	41,39,36,0,18,58,60,60,3,17	9
5	10	41,39,36,0,18,58,60,60,3,9	9
6	10	41,39,36,0,18,58,60,60,4,37	9
7	10	41,39,36,0,18,58,60,60,5,58	8
8	10	41,39,36,0,18,58,60,60,5,56	9
9	10	41,39,36,0,18,58,60,60,6,58	8
10	10	41,39,36,0,18,58,60,60,7,19	9
11	10	41,39,36,0,18,58,60,60,7,42	9
12	10	41,39,36,0,18,58,60,60,8,60	8
13	10	41,39,36,0,18,58,60,60,8,62	9
14	10	41,39,36,0,18,58,60,60,9,34	9
15	10	41,39,36,0,18,58,60,60,10,37	9
16	10	41,39,36,0,18,58,60,60,10,0	8
17	10	41,39,36,0,18,58,60,60,11,4	9
18	10	41,39,36,0,18,58,60,60,12,39	8
19	10	41,39,36,0,18,58,60,60,12,17	9
20	10	41,39,36,0,18,58,60,60,13,50	9
21	10	41,39,36,0,18,58,60,60,13,29	9
22	10	41,39,36,0,18,58,60,60,14,48	9
23	10	41,39,36,0,18,58,60,60,15,23	9
24	10	41,39,36,0,18,58,60,60,15,31	9
25	10	41,39,36,0,18,58,60,60,16,54	9
26	10	41,39,36,0,18,58,60,60,17,50	9
27	10	41,39,36,0,18,58,60,60,17,37	9
28	10	41,39,36,0,18,58,60,60,18,43	8
29	10	41,39,36,0,18,58,60,60,18,59	8
30	10	41,39,36,0,18,58,60,60,19,60	8
31	10	41,39,36,0,18,58,60,60,20,30	9
32	10	41,39,36,0,18,58,60,60,20,47	9
33	10	41,39,36,0,18,58,60,60,21,51	9
34	10	41,40,36,0,18,58,60,61,22,51	10
35	10	41,39,36,0,18,58,60,60,22,37	9
36	10	41,39,36,0,18,58,60,60,23,29	9
37	10	41,39,36,0,18,58,60,60,23,11	9
38	10	41,39,36,0,18,58,60,60,24,19	9
39	10	41,39,36,0,18,58,60,60,25,28	9
40	10	41,39,36,0,18,58,60,60,25,1	9
41	10	41,39,36,0,18,58,60,60,26,29	9
42	10	41,39,36,0,18,58,60,60,27,28	9
43	10	41,39,36,0,18,58,60,60,27,42	9
44	10	41,39,36,0,18,58,60,60,28,35	9
45	10	41,39,36,0,18,58,60,60,28,22	9
46	10	41,39,36,0,18,58,60,60,29,3	9
47	10	41,39,36,0,18,58,60,60,30,5	9
48	10	41,39,36,0,18,58,60,60,30,62	9
49	10	41,39,36,0,18,58,60,60,31,25	9
50	10	41,39,36,0,18,58,60,60,32,62	9
51	10	41,39,36,0,18,58,60,60,32,58	8
52	10	41,39,36,0,18,58,60,60,33,33	8
53	10	41,39,36,0,18,58,60,60,33,6	9
54	10	41,39,36,0,18,58,60,60,34,62	9
55	10	41,39,36,0,18,58,60,60,35,20	9
56	10	41,39,36,0,18,58,60,60,35,7	9
57	10	41,39,36,0,18,58,60,60,36,31	8
58	10	41,39,36,0,18,58,60,60,37,36	8
59	10	41,39,36,0,18,58,60,60,37,50	9
60	10	41,39,36,0,18,58,60,60,38,59	9
61	10	41,40,36,0,18,58,60,61,38,38	9
62	10	41,39,36,0,18,58,60,60,39,9	8
63	10	41,39,36,0,18,58,60,60,40,29	9
64	10	41,39,36,0,18,58,60,60,40,55	9
65	10	41,39,36,0,18,58,60,60,41,24	8
66	10	41,39,36,0,18,58,60,60,42,37	9
67	10	41,39,36,0,18,58,60,60,42,40	9
68	10	41,39,36,0,18,58,60,60,43,9	9
69	10	41,39,36,0,18,58,60,60,43,25	9
70	10	41,39,36,0,18,58,60,60,44,41	8
71	10	41,39,36,0,18,58,60,60,45,57	9
72	10	41,39,36,0,18,58,60,60,45,14	9
73	10	41,39,36,0,18,58,60,60,46,3	9
74	10	41,39,36,0,18,58,60,60,47,2	9
75	10	41,5,36,0,18,58,60,60,47,47	8
76	10	41,39,36,0,18,58,60,60,48,24	9
77	10	41,39,36,0,18,58,60,60,48,3	9
78	10	41,40,36,0,18,58,60,61,49,55	10
79	10	41,39,36,0,18,58,60,60,50,30	9
80	10	41,39,36,0,18,58,60,60,50,31	9
81	10	41,39,36,0,18,58,60,60,51,45	9
82	10	41,39,36,0,18,58,60,60,52,35	9
83	10	41,40,36,0,18,58,60,61,52,25	10
84	10	41,40,36,0,18,58,60,61,53,24	10
85	10	41,39,36,0,18,58,60,60,53,25	9
86	10	41,39,36,0,18,58,60,60,54,0	8
87	10	41,39,36,0,18,58,60,60,55,15	9
88	10	41,39,36,0,18,58,60,60,55,20	9
89	10	41,39,36,0,18,58,60,60,56,55	9
90	10	41,39,36,0,18,58,60,60,57,48	9
91	10	41,39,36,0,18,58,60,60,57,37	9
92	10	41,39,36,0,18,58,60,60,58,49	8
93	10	41,39,36,0,18,58,60,60,58,27	8
94	10	41,39,36,0,18,58,60,60,59,49	9
95	10	41,39,36,0,18,58,60,60,60,28	8
96	10	41,40,36,0,18,58,60,61,60,44	9
97	10	41,39,36,0,18,58,60,60,61,11	9
98	10	41,39,36,0,18,58,60,60,62,27	9
99	10	41,39,36,0,18,58,60,60,62,10	9
100	10	41,39,36,0,18,58,60,60,63,58	8
101	10	41,37,36,0,18,42,45,45,12,18	8
102	10	41,39,36,0,18,58,60,60,0,43	8
103	10	41,39,36,0,18,58,60,60,1,62	9
104	10	41,39,36,0,18,58,60,60,1,4	9
105	10	41,39,36,0,18,58,60,60,2,21	9
106	10	41,39,36,0,18,58,60,60,3,42	9
107	10	41,39,36,0,18,58,60,60,3,3	8
108	10	41,39,36,0,18,58,60,60,4,49	9
109	10	41,39,36,0,18,58,60,60,4,42	9
110	10	41,39,36,0,18,58,60,60,5,63	9
111	10	41,39,36,0,18,58,60,60,6,28	9
112	10	41,39,36,0,18,58,60,60,6,30	9
113	10	41,39,36,0,18,58,60,60,7,2	9
114	10	41,39,36,0,18,58,60,60,8,19	9
115	10	41,39,36,0,18,58,60,60,8,48	9
116	10	41,39,36,0,18,58,60,60,9,45	9
117	10	41,39,36,0,18,58,60,60,9,25	9
118	10	41,39,36,0,18,58,60,60,10,32	9
119	10	41,39,36,0,18,58,60,60,11,36	8
120	10	41,39,36,0,18,58,60,60,11,12	9
121	10	41,39,36,0,18,58,60,60,12,13	9
122	10	41,39,36,0,18,58,60,60,13,56	9
123	10	41,39,36,0,18,58,60,60,13,48	9
124	10	41,39,36,0,18,58,60,60,14,8	9
125	10	41,39,36,0,18,58,60,60,14,2	9
126	10	41,39,36,0,18,58,60,60,15,17	9
127	10	41,40,36,0,18,58,60,61,16,52	10
