token_id,cache_sets,num_cache_sets
10000,14|16|22|27|30|31|46,7
10001,4|6|7|9|13|20|48|62,8
10002,3|6|8|19|47|54|56|62,8
10003,5|37|39|45|51|53|60,7
10004,22|30|31|37|44,5
10005,3|6|7|13|21|55|62,7
10006,0|1|47|48|50|51|52|53|57,9
10007,32|34|40|45|48|49|54|62,8
10008,15|17|18|31|33,5
10009,5|12|46|48|54|59|60|62|63,9
10010,1|3|9|14|16|17|19|23|31,9
10011,43|44|46|47|48|49|53|60|62,9
10012,21|30|40|41|43|44|45,7
10013,15|17|18|31,4
10014,4|6|7|48|55|57|62,7
10015,2|3|36|38|44|49|52|53,8
10016,38|44|47|48|49|53|61,7
10017,18|20|32|34|35|36|48|49|50,9
10018,3|4|6|9|20|21|22|48|55|57,10
10019,1|9|15|17|20,5
10020,32|34|39|44|45|47|48|49,8
10021,21|28|30|40|41|43|44|59,8
10022,30|32|38|46|48,5
10023,21|23|34|37|38|39|43|50|52|53,10
10024,22|24|30|37|38|40|51|53,8
10025,22|33|35|36|38,5
10026,21|23|34|37|38|39|43|50|53,9
10027,5|11|19|26|33|35|61,7
10028,5|16|19|20|35|60,6
10029,1|8|50|56|58|59,6
10030,7|8|20|22|57,5
10031,15|22|28|30|31|32|44|47,8
10032,17|19|25|31|33|36|49,7
10033,28|30|35|40|41|43|44|45|57|58|60,11
10034,31|42|43|45,4
10035,19|25|27|39|41|42|44|48|55,9
10036,22|30|35|38|39|51,6
10037,16|26|27|29|30|31|32|46,8
10038,1|9|14|15|17|18|19|20|24|31|32|33,12
10039,43|46|47|49,4
10040,4|6|7|13|20|21|22|48|57|62,10
10041,0|32|34|45|47|48|49|61|63,9
10042,1|9|15|17|18|31|32,7
10043,4|6|7|48|62,5
10044,4|6|7|8|9|13|21|22|48|55|57,11
10045,3|5|16|17|20|33|34|35|61,9
10046,15|22|24|38|39|40|44,7
10047,0|25|32|34|39|48|49,7
10048,1|7|13|15|18|29|63,7
10049,3|16|17|20|22|61,6
10050,6|18|20|33,4
10051,15|22|35|36|38|39|44|51|53,9
10052,28|35|36|40|41|43|44|46|50|58,10
10053,7|13|20|22|48|55|57,7
10054,5|16|17|19|20|26|35,7
10055,4|7|20|22|48|55|62,7
10056,0|8|10|11|56|58,6
10057,40|41|44|45|46|50|58,7
10058,21|29|34|36|37|39|43|50|52|53,10
10059,12|18|20|34|35|41|48|49,8
10060,3|4|6|7|9|13|20|48|57,9
10061,20|31|32|34|35|36|37|48|50,9
10062,19|32|34|35|36|37|48,7
10063,23|29|31|37|45|47|48|59|61,9
10064,17|33|40|47|49,5
10065,4|7|8|13|20|55|57,7
10066,18|20|26|31|32|34|35|36|48|49,10
10067,41|44|45|46|50|57|60,7
10068,3|14|16|17|32|58,6
10069,29|37|42|45|46|47|58|59|60,9
10070,0|27|34|41|47|49|50|51|56,9
10071,30|43|44|46|47|48|49|61,8
10072,32|34|41|48|49,5
10073,21|23|29|34|37|39|43|52|53,9
10074,28|30|36|41|44|46|50|57|59,9
10075,16|18|30|32|33|47|48,7
10076,3|5|11|15|16|19|20|21,8
10077,33|35|40|46|48|49|50|55|62,9
10078,3|4|6|7|13|22|48|55|57,9
10079,26|28|34|40|42|44|45|56|57|58,10
10080,4|37|45|50|51|53|54,7
10081,3|15|17|18|20|24,6
10082,14|16|27|30|31|45|46,7
10083,22|30|35|44,4
10084,29|31|42|43|45|46|59|61,8
10085,22|24|30|38|39|40|44|51|53|54,10
10086,19|32|34|35|37|48|51,7
10087,14|28|30|31|32|33|37|46,8
10088,1|3|8|14|17|18|19|32|58,9
10089,33|39|41|48|56|57,6
10090,28|30|40|41|44|50|60,7
10091,4|6|7|13|21,5
10092,3|6|7|13|20|21|22|48|57,9
10093,7|13|22|55|57|62,6
10094,0|5|6|8|9|15|22|24,8
10095,22|36|38|39|45|52|53,7
10096,13|15|27|29|30|31|36,7
10097,6|12|14|20|28|31|43,7
10098,4|6|7|20|22|55|57,7
10099,25|32|34|45|48|49|54|61,8
10100,17|27|28|30|31|33|37,7
10101,4|5|18|20|60,5
10102,1|2|34|36|42|47|49|50|52|63,10
10103,4|11|13|39|45|47|53|58|61|62,10
10104,30|36|41|43|44|46|50|57|59,9
10105,1|3|17|18|19|23|31,7
10106,27|38|41|42|43|48|54|55|56,9
10107,28|30|41|43|44|46|57|60,8
10108,1|4|5|11|19|20|54,7
10109,14|25|26|27|28|29|34|41|44,9
10110,2|48|50|51|52|57,6
10111,26|32|34|46|48|49|51|55|62,9
10112,4|6|7|9|20|22|55|57,8
10113,21|40|43|44|57|58|60,7
10114,2|14|15|18|19|34,6
10115,3|4|7|9|13|20|55|62,8
10116,5|13|14|15|16|27|61|63,8
10117,3|4|31|37|39|53|54|60,8
10118,15|17|27|28|31|37|44|46,8
10119,3|4|7|20|22|48|55|57,8
10120,0|1|28|34|42|48|50|57,8
10121,4|10|12|24|26|27|42,7
10122,28|41|42|48|55|57,6
10123,25|27|39|41|42|48|55,7
10124,14|26|28|29|31|35|42|43,8
10125,7|20|55|57|62,5
10126,10|14|17|18|19|20|24|31|33|34,10
10127,4|14|15|17|18|19|24|31|33|34|59,11
10128,3|9|14|15|33|59,6
